통계분류(1)	통계분류(2)	2021	2021	2021	2021	2021	2021	2021	2021	2021	2021
통계분류(1)	통계분류(2)	항목	항목	항목	항목	항목	항목	항목	항목	항목	항목
통계분류(1)	통계분류(2)	사례수	종이책 구입비(평균)	종이책 구입비(평균)	종이책 구입비(평균)	전자책 구입비(평균)	전자책 구입비(평균)	전자책 구입비(평균)	오디오북 구입량(평균)	오디오북 구입량(평균)	오디오북 구입량(평균)
통계분류(1)	통계분류(2)	소계	전체	구입자 기준	독서자 기준	전체	구입자 기준	독서자 기준	전체	구입자 기준	독서자 기준
전체	소계	3320	5.2	9.7	5.7	0.9	5.8	1	0.1	3.7	0.1
학교급별	초등학교	1117	5	11.2	5.2	0.4	4.5	0.4	0.2	4.1	0.2
학교급별	중학교	1095	6.2	10.9	6.8	1.1	6.7	1.2	0.1	3.3	0.1
학교급별	고등학교	1108	4.4	7.5	5.1	1.2	5.7	1.4	0.1	3.3	0.1
학교급 학년	초등학교 4학년	380	4.5	12.4	4.6	0.3	4.3	0.3	0.2	4.1	0.2
학교급 학년	초등학교 5학년	360	3.9	9.2	4.2	0.5	5.4	0.6	0.3	4.9	0.3
학교급 학년	초등학교 6학년	376	6.4	11.9	6.7	0.4	3.8	0.4	0.1	3	0.1
학교급 학년	중학교 1학년	394	6.3	11.3	6.7	1.3	8.4	1.4	0.1	2.7	0.1
학교급 학년	중학교 2학년	357	7.1	11.3	7.7	0.5	4.3	0.6	0.1	2.7	0.1
학교급 학년	중학교 3학년	344	5.1	9.9	5.8	1.4	6.7	1.6	0.2	4	0.2
학교급 학년	고등학교 1학년	392	4.6	8.1	5.2	1.1	5.5	1.3	0.1	3.7	0.1
학교급 학년	고등학교 2학년	364	5.2	8	6	1.3	6.4	1.5	0	2.5	0
학교급 학년	고등학교 3학년	352	3.4	6.2	4	1.3	5.2	1.6	0.1	3.2	0.2
연간독서량(종이책기준)	없음	417	0.3	4.6	1	0.4	3.5	1.3	0	2.8	0.1
연간독서량(종이책기준)	1~5권	1148	3.8	6.2	3.8	1	5.2	1	0.2	3.8	0.2
연간독서량(종이책기준)	6~10권	528	5	7.4	5	1.2	6.3	1.2	0.1	2.8	0.1
연간독서량(종이책기준)	11~15권	205	6.9	10.1	6.9	1.6	7.1	1.6	0.1	5.2	0.1
연간독서량(종이책기준)	16~20권	180	8.3	12.4	8.3	1.2	7.3	1.2	0.2	4.2	0.2
연간독서량(종이책기준)	21권 이상	842	8.6	16.8	8.6	0.6	6.7	0.6	0.1	3.5	0.1
